Epoch: 395/500, Duration: 1.263s, ACC: 0.8116, Train Loss: 0.7472, Test Loss:0.7504
Epoch: 396/500, Duration: 1.232s, ACC: 0.8131, Train Loss: 0.7479, Test Loss:0.7415
Epoch: 397/500, Duration: 1.227s, ACC: 0.8130, Train Loss: 0.7489, Test Loss:0.7419
Epoch: 398/500, Duration: 1.232s, ACC: 0.8136, Train Loss: 0.7456, Test Loss:0.7386
Epoch: 399/500, Duration: 1.232s, ACC: 0.8125, Train Loss: 0.7464, Test Loss:0.7432
Epoch: 400/500, Duration: 1.263s, ACC: 0.8140, Train Loss: 0.7456, Test Loss:0.7363
Epoch: 401/500, Duration: 1.262s, ACC: 0.8134, Train Loss: 0.7464, Test Loss:0.7404
Epoch: 402/500, Duration: 1.262s, ACC: 0.8145, Train Loss: 0.7423, Test Loss:0.7348
Epoch: 403/500, Duration: 1.251s, ACC: 0.8129, Train Loss: 0.7423, Test Loss:0.7430
Epoch: 404/500, Duration: 1.234s, ACC: 0.8128, Train Loss: 0.7431, Test Loss:0.7440
Epoch: 405/500, Duration: 1.232s, ACC: 0.8131, Train Loss: 0.7446, Test Loss:0.7436
Epoch: 406/500, Duration: 1.233s, ACC: 0.8137, Train Loss: 0.7427, Test Loss:0.7393
Epoch: 407/500, Duration: 1.264s, ACC: 0.8128, Train Loss: 0.7436, Test Loss:0.7412
Epoch: 408/500, Duration: 1.262s, ACC: 0.8137, Train Loss: 0.7430, Test Loss:0.7382
Epoch: 409/500, Duration: 1.259s, ACC: 0.8145, Train Loss: 0.7416, Test Loss:0.7339
Epoch: 410/500, Duration: 1.260s, ACC: 0.8137, Train Loss: 0.7390, Test Loss:0.7367
Epoch: 411/500, Duration: 1.235s, ACC: 0.8140, Train Loss: 0.7415, Test Loss:0.7354
Epoch: 412/500, Duration: 1.231s, ACC: 0.8143, Train Loss: 0.7397, Test Loss:0.7344
Epoch: 413/500, Duration: 1.236s, ACC: 0.8134, Train Loss: 0.7381, Test Loss:0.7425
Epoch: 414/500, Duration: 1.248s, ACC: 0.8132, Train Loss: 0.7407, Test Loss:0.7398
Epoch: 415/500, Duration: 1.261s, ACC: 0.8134, Train Loss: 0.7396, Test Loss:0.7400
Epoch: 416/500, Duration: 1.266s, ACC: 0.8146, Train Loss: 0.7389, Test Loss:0.7323
Epoch: 417/500, Duration: 1.264s, ACC: 0.8136, Train Loss: 0.7410, Test Loss:0.7399
Epoch: 418/500, Duration: 1.237s, ACC: 0.8138, Train Loss: 0.7377, Test Loss:0.7365
Epoch: 419/500, Duration: 1.233s, ACC: 0.8149, Train Loss: 0.7379, Test Loss:0.7332
Epoch: 420/500, Duration: 1.230s, ACC: 0.8142, Train Loss: 0.7355, Test Loss:0.7375
Epoch: 421/500, Duration: 1.236s, ACC: 0.8158, Train Loss: 0.7369, Test Loss:0.7301
Epoch: 422/500, Duration: 1.259s, ACC: 0.8149, Train Loss: 0.7374, Test Loss:0.7320
Epoch: 423/500, Duration: 1.262s, ACC: 0.8140, Train Loss: 0.7371, Test Loss:0.7381
Epoch: 424/500, Duration: 1.270s, ACC: 0.8141, Train Loss: 0.7356, Test Loss:0.7366
Epoch: 425/500, Duration: 1.245s, ACC: 0.8152, Train Loss: 0.7368, Test Loss:0.7328
Epoch: 426/500, Duration: 1.234s, ACC: 0.8152, Train Loss: 0.7359, Test Loss:0.7333
